"Dataset","Class","Rel. Site Pref. Cutoff","Odds Ratio","OR_CI95_lower","p.value"
"NP (H3N2)","Polarity & Volume",0.25,1.07862492572793,0.79672621461648,0.654781295195503
"NP (H3N2)","Polarity & Volume",0.3,1.13040689025888,0.822768574927493,0.434872734554885
"NP (H3N2)","Polarity & Volume",0.35,1.0349709313543,0.736667215906045,0.86834710980884
"NP (H3N2)","Polarity & Volume",0.4,1.12619838232852,0.781868570242144,0.53174565110427
"NP (H3N2)","Polarity & Volume",0.45,1.13001683782446,0.765542025991495,0.507498803826191
"NP (H3N2)","Polarity & Volume",0.5,1.14189114047863,0.745157556862808,0.533978863705049
"NP (H3N2)","Polarity & Volume",0.55,1.46805109788933,0.929166459680628,0.0885339720140006
"NP (H3N2)","Polarity & Volume",0.6,1.60330196468982,0.97168485145475,0.0609942420577032
"NP (H3N2)","Polarity & Volume",0.65,1.43790943540413,0.813607172200723,0.20915378792624
"NP (H3N2)","Polarity & Volume",0.7,1.59320759035243,0.859528758749464,0.128949285072529
"NP (H3N2)","Polarity & Volume",0.75,1.39201214038349,0.6721528129795,0.38365331787234
"NP (H3N2)","Polarity & Volume",0.8,0.941919084542502,0.344839355719251,1
"NP (H3N2)","Polarity & Volume",0.85,1.02969358932727,0.309534055350663,1
"NP (H3N2)","Polarity & Volume",0.9,1.18191494911512,0.301500739743966,0.77449550145499
"NP (H3N2)","Polarity & Volume",0.95,0.536396949631331,0.0540566785124126,0.726455015862419
"NP (H1N1)","Polarity & Volume",0.05,1.35318090462023,0.866763695626044,0.172761231728646
"NP (H1N1)","Polarity & Volume",0.1,1.18160161274558,0.882609812357134,0.252800142526707
"NP (H1N1)","Polarity & Volume",0.15,1.08054208185078,0.814844024017875,0.578502407066097
"NP (H1N1)","Polarity & Volume",0.2,1.10014202641932,0.819895437785338,0.514923024660913
"NP (H1N1)","Polarity & Volume",0.25,1.02740416501733,0.747944228839775,0.876696504272701
"NP (H1N1)","Polarity & Volume",0.3,1.02959476027993,0.728282589979744,0.866392166598695
"NP (H1N1)","Polarity & Volume",0.35,0.903537999942936,0.616310223642266,0.648351436772378
"NP (H1N1)","Polarity & Volume",0.4,0.941745568268315,0.620666938956347,0.84271173655746
"NP (H1N1)","Polarity & Volume",0.45,0.890839587841514,0.565614841953484,0.670094701096816
"NP (H1N1)","Polarity & Volume",0.5,1.05797561963769,0.656693692614159,0.819901973370311
"NP (H1N1)","Polarity & Volume",0.55,1.32321136359164,0.796601223872002,0.264563917837532
"NP (H1N1)","Polarity & Volume",0.6,1.34364982121761,0.78769486275701,0.243312240180066
"NP (H1N1)","Polarity & Volume",0.65,1.48772742611646,0.828382075529145,0.153687147858633
"NP (H1N1)","Polarity & Volume",0.7,1.41922526131471,0.752140125346348,0.280951307418579
"NP (H1N1)","Polarity & Volume",0.75,1.43555623645655,0.689282476884418,0.294618512785176
"NP (H1N1)","Polarity & Volume",0.8,1.44114424252753,0.558710714763623,0.384719044797929
"NP (H1N1)","Polarity & Volume",0.85,1.66574932661106,0.553243032875395,0.311507078090167
"NP (H1N1)","Polarity & Volume",0.9,1.87131145203523,0.495807769127777,0.360984365969868
"NP (H1N1)","Polarity & Volume",0.95,1.39531162584148,0.20314250711208,0.700676385405066
"HA (H1N1)","Polarity & Volume",0.05,1.74516374545026,1.10594420820548,0.0130091574963743
"HA (H1N1)","Polarity & Volume",0.1,1.04020549413081,0.759105892892103,0.816284667285837
"HA (H1N1)","Polarity & Volume",0.15,0.831785531113306,0.625202721603496,0.202180846115085
"HA (H1N1)","Polarity & Volume",0.2,0.919421558043789,0.695730125945183,0.581772200293423
"HA (H1N1)","Polarity & Volume",0.25,0.974116562905361,0.736993920663899,0.890691785094713
"HA (H1N1)","Polarity & Volume",0.3,0.93797252621291,0.706183333653104,0.676096231064766
"HA (H1N1)","Polarity & Volume",0.35,1.09353003208352,0.818565939659091,0.567842389069333
"HA (H1N1)","Polarity & Volume",0.4,1.13367681694273,0.839595625307964,0.4151617031685
"HA (H1N1)","Polarity & Volume",0.45,1.17943237359986,0.858907012431301,0.308506396603967
"HA (H1N1)","Polarity & Volume",0.5,1.16668244827619,0.833274815523307,0.361969476349823
"HA (H1N1)","Polarity & Volume",0.55,1.09743623780705,0.767611819511694,0.600625450873008
"HA (H1N1)","Polarity & Volume",0.6,1.09508871415576,0.74180003673686,0.636244739307738
"HA (H1N1)","Polarity & Volume",0.65,1.14430983798735,0.750791715791547,0.538327389257424
"HA (H1N1)","Polarity & Volume",0.7,1.17550271332419,0.739530363895489,0.499697811537301
"HA (H1N1)","Polarity & Volume",0.75,1.08351655400802,0.635079494922064,0.799465753750232
"HA (H1N1)","Polarity & Volume",0.8,0.933503244433057,0.490340342706041,0.883712741904535
"HA (H1N1)","Polarity & Volume",0.85,0.93477461476948,0.419979456423401,1
"HA (H1N1)","Polarity & Volume",0.9,1.09523976239126,0.3615812227341,0.812873505644489
"HA (H1N1)","Polarity & Volume",0.95,2.51494261763402,0.422698633064075,0.245161562294996
